,VCRNum,PullDate,Weekday,ShowDate,Channel,Show,Start,Finish,Duration,Showtime,Boundary,Start words,End words,Visual y/n,Visual descr,Visual time,Audio y/n,Audio descr,Audio time,y,Object descr,Object time,Notes,Tape duration,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
0,1.0,2006-01-03 00:00:00,2.0,2006-01-02,KCBS,Dr._Phil ,00:00:24,00:58:14,00:57:50,16:00:00,black screen ,,,y,logo,00:00:24,y,tune,00:00:24,y,logo bottom left,00:57:50,"says ""video compilation"" throughout ",,,,,
1,1.0,2006-01-03 00:00:00,2.0,2006-01-02,KCBS,CBS2_News_at_5,00:58:22,01:54:52,00:56:30,17:00:00,black screen ,,,y,"""Distributed by KingWorld""",00:58:22,y,tune,00:58:22,y,logo bottom right,00:15:31,,,,,,
2,1.0,2006-01-03 00:00:00,2.0,2006-01-02,KCBS,CBS2_News_at_6,01:57:33,02:26:22,00:28:49,18:00:00,black screen ,,,y,logo,01:57:33,y,tune,01:13:55,y,logo bottom right,00:28:49,"says ""video compilation"" throughout ",,,,,
3,1.0,2006-01-03 00:00:00,2.0,2006-01-02,KCBS,CBS_Evening_News_with_Bob_Schieffer,02:28:44,02:57:01,00:28:17,18:30:00,black screen ,,,y,screen,02:28:44,y,tune,02:28:44,y,logo bottom right,00:28:17,,,,,,
4,1.0,2006-01-03 00:00:00,2.0,2006-01-02,KCBS,Entertainment_Tonight,02:59:24,03:31:02,00:31:38,19:00:00,black screen ,,,y,logo,02:59:24,y,tune,02:59:24,y,logo bottom left,00:31:38,"alternates between two logos: ""ET"" and ""The Insider""",,,,,
5,1.0,2006-01-03 00:00:00,2.0,2006-01-02,KCBS,CBS2_News_at_11,03:31:04,04:06:22,00:35:18,11:00:00,black screen ,,,y,logo,00:35:18,y,tune,03:31:04,y,logo bottom right,00:35:18,,,,,,
6,1.0,2006-01-03 00:00:00,2.0,2006-01-03,KCBS,Late_Show_with_David_Letterman,04:06:30,05:08:48,01:02:18,00:23:35,black screen ,,,y,logo,04:06:30,y,tune,04:06:30,y,logo bottom right,01:02:18,,,,,,
7,1.0,2006-01-03 00:00:00,2.0,2006-01-03,KCBS,Late_Late_Show_with_Craig_Ferguson,05:08:53,06:07:49,00:58:56,00:37:00,black screen ,,,y,logo,05:08:53,y,tune,05:08:53,y,logo bottom right,00:58:46,,,,,,
8,1.0,2006-01-03 00:00:00,2.0,2006-01-03,KCBS,Frasier,06:08:58,06:09:50,00:00:52,00:30:00,black screen ,,,y,logo,06:08:58,y,tune,06:08:58,n,,,"""closed caption"" and ""TV PG"" logos top right and left, respectively",,,,,
9,1.0,2006-01-03 00:00:00,3.0,2006-01-03,KCBS,CBS2_,06:09:51,06:10:23,00:00:32,18:55:00,none,,,n,,,n,,,y,logo bottom right,00:00:32,,,,,,
10,1.0,2006-01-03 00:00:00,3.0,2006-01-03,KCBS,The_Early_Show,06:10:24,07:04:15,00:53:51,19:00:00,black screen ,,,y,screen,06:10:24,n,,,y,logo bottom left and right,00:53:51,,,,,,
11,1.0,2006-01-03 00:00:00,3.0,2006-01-03,KCBS,CBS2_,07:05:26,07:10:32,00:05:06,19:55:00,black screen ,,,y,screen,07:05:26,y,tune,07:05:26,y,logo bottom right,00:05:06,,,,,,
12,1.0,2006-01-03 00:00:00,3.0,2006-01-03,KCBS,The_Early_Show,07:10:25,07:35:19,00:24:54,20:00:00,black screen ,,,y,screen,07:10:25,n,,,y,logo bottom right,00:24:54,,,,,,
13,1.0,2006-01-03 00:00:00,3.0,2006-01-03,KCBS,CBS2_,07:10:20,07:40:39,00:30:19,20:24:00,none,,,y,screen,07:10:20,y,tune,07:10:20,y,logo bottom right,00:30:09,,,,,,
14,1.0,2006-01-03 00:00:00,3.0,2006-01-03,KCBS,The_Early_Show,07:40:40,08:03:17,00:22:37,20:30:00,none,,,y,screen,07:40:40,y,tune,07:40:40,y,logo bottom right,00:22:37,,,,,,
15,1.0,2006-01-03 00:00:00,3.0,2006-01-03,KCBS,CBS2_,08:05:21,08:09:16,00:03:55,20:55:00,black screen ,,,y,screen,08:05:21,y,tune,08:05:21,y,logo bottom right,00:03:55,,,,,,
16,1.0,2006-01-03 00:00:00,3.0,2006-01-03,KCBS,Family_Feud,08:10:21,08:10:49,00:00:28,21:00:00,black screen ,,,y,logo,08:10:21,y,tune,08:10:21,n,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
