,VCRNum,PullDate,Weekday,ShowDate,Channel,Show,Start,Finish,Duration,Showtime,Boundary,Start words,End words,Visual y/n,Visual descr,Visual time,Audio y/n,Audio descr,Audio time,Object y/n,Object descr,Object time,Notes,Tape duration
0,10,2006-01-06,5.0,2006-10-05,CNN,Lou_Dobbs_Tonight,00:00:19,01:00:24,01:00:05,16:00:00,,"This is Lou Dobbs Tonight. News, Debate, and Opinion."" ",,y,"screen, theme",00:00:50-00:01:04,y,"tune, ""This is Lou Dobbs Tonight. News, Debate, and Opinion."" ",00:00:55-00:01:04,n,,,"Pull Date is in January, the show states the date is in October",
1,10,2006-01-06,5.0,2006-10-05,CNN,Situation_Room,01:00:25,02:00:26,01:00:01,17:00:00,,"""I'm Wolf Blitzer and you're in the situation room",,y,"screen, theme",01:01:21- 01:01:34,y,"tune, ""I'm Wolf Blitzer and you're in the situation room",01:01:17 - 01:01:20,y,Logo bottom right ,01:01:33,"Pull Date is in January, the show states the date is in October",
2,10,2006-01-06,5.0,2006-10-05,CNN,Paula_Zahn_Now,02:00:28,03:00:26,00:59:58,18:00:00,,,,n,,,n,,,y,logo bottom right ,02:00:28,"Pull Date is in January, the show states the date is in October",
3,10,2006-01-06,5.0,2006-10-05,CNN,Larry_King_Live,03:00:28,04:00:21,00:59:53,19:00:00,black frame,"""Good evening""",,y,"screen, theme ","03:00:28, 03:00:55 -03:01:04",y,"tune, ""Good evening""",03:01:04-03:01:05,y,logo bottom right ,03:01:06,"Pull Date is in January, the show states the date is in October, added logo to google drive folder",
4,10,2006-01-06,5.0,2006-10-05,CNN,Anderson_Cooper_360,04:00:23,06:00:33,02:00:10,20:00:00,black frame,"""Good evening everyone""",,y,screen,04:00:22,y,"tune,""Good evening everyone""",04:00:24,y,logo bottom right ,04:00:25,"Pull Date is in January, the show states the date is in October",
5,10,2006-01-06,6.0,2006-01-06,CNN,American_Morning,06:00:52,08:01:41,02:00:49,05:00:00,,"""Welcome back everybody""",,y,screen,06:00:52,y,"""Welcome back everybody""",06:00:53,y,logo bottom right,06:00:56,"Pull Date is in January, the show states the date is in October, cuts off show at 08:01:42 to a blue screen",
6,,,,,,,,,,,,,,,,,,,,,,,,
7,10,2006-01-09,6.0,2006-01-06,CNN,Situation_Room,00:01:54,01:01:51,00:59:57,16:00:00,,"""This is the situation room""",,y,"strip, theme ","00:01:54-00:-1:58, 00:02:50-00:03:06",y,"tune,""This is the situation room""","00:02:50-00:03:06, 00:01:59-00:02:02",y,logo bottom right,00:01:56,,
8,10,2006-01-09,6.0,2006-01-06,CNN,Paula_Zahn_Now,01:01:54,02:01:56,01:00:02,17:00:00,,"""Good Evening Everyone""",,n,"screen, theme","01:03:28, 01:03:20-01:03:29",n,"tune, ""Good Evening Everyone""",01:03:20-01:03:29. 01:01:54,y,logo bottom right ,01:01:53,,
9,10,2006-01-09,6.0,2006-01-06,CNN,Larry_King_Live,02:01:57,03:01:57,01:00:00,18:00:00,black frame,,,y,theme,02:02:35-02:02:40,y,theme,02:02:35-02:02:40,y,logo bottom right ,02:01:58,,
10,10,2006-01-09,6.0,2006-01-06,CNN,Anderson_Cooper_360,03:01:58,04:59:18,01:57:20,19:00:00,,"""Good evening everyone""",,y,"theme, screen","03:03:02-03:03:11, 03:03:07",y,"""Good evening everyone""",03:01:58,y,logo bottom right ,03:01:58,,
11,10,2006-01-09,2.0,2006-01-07,CNN,American_Morning,05:03:12,08:03:44,03:00:32,04:00:00,black frame," ""good morning everyone""",,y,"screen,theme","5:03:10, 05:04:22-05:04:27",y,"tune, ""good morning everyone""","05:04:22-05:04:27, 05:04:28",y,logo bottom right,05:03:10,,
12,,,,,,,,,,,,,,,,,,,,,,,,
13,10,2006-01-10,2.0,2006-01-07,CNN,Situation_Room,00:01:43,01:01:41,00:59:58,16:00:00,,"""I'm Wolf Blitzer and you're in the situation room""",,y,"screen,theme",00:02:33-00:02:48,y,"tune, ""I'm Wolf Blitzer and you're in the situation room",00:02:46,y,Logo bottom right ,00:02:47,,
14,10,2006-01-10,2.0,2006-01-07,CNN,Paula_Zahn_Now,01:01:42,02:01:44,01:00:02,17:00:00,,"""Good evening""",,y,"screen,theme",01:02:59-01:03:06,y,"tune, ""Good evening""",01:01:42,y,logo bottom right ,01:01:41,,
15,10,2006-01-10,2.0,2006-01-07,CNN,Larry_King_Live,02:01:46,03:01:34,00:59:48,18:00:00,black frame,"""Good evening""",,y,"screen, theme",02:02:09-02:02:15,y,"tune, ""Good evening""",02:02:15,y,logo bottom right,02:01:47,,
16,10,2006-01-10,2.0,2006-01-07,CNN,Anderson_Cooper_360,03:01:35,05:01:41,02:00:06,19:00:00,split screen,"""Good evening again everyone""",,y,"screen, theme","03:01:58, 03:02:51-03:02:59",y,"tune, ""Good evening again everyone""",03:01:51,y, logo bottom right ,03:01:54,,
17,10,2006-01-10,3.0,2006-01-09,CNN,American_Morning,05:01:44,07:31:12,02:29:28,04:00:00,,"""Good morning and welcome everybody""",,y,"theme,screen","05:04:03-05:04:10, 05:04:10",y,"tune, ""Good morning and welcome everybody""","05:04:03-05:04:10, 05:04:12",y,logo bottom right,05:01:47,,
18,10,2006-01-10,3.0,2006-01-09,CNN,Situation_Room,07:31:14,08:09:21,00:38:07,06:30:00,,"""I'm Wolf Blitzer and You're in the Situation Room""",,y,"theme,screen",07:32:09-07:32:31,y,"tune, ""I'm Wolf Blitzer and You're in the Situation Room""",07:32:05,y, Logo bottom right ,07:31:14,Cuts at 08:09:21,
19,,,,,,,,,,,,,,,,,,,two clues - two timestamps,,,,,
