,VCRNum,PullDate,Weekday,ShowDate,Channel,Show,Start,Finish,Duration,Showtime,Boundary,Start words,End words,Visual y/n,Visual descr,Visual time,Audio y/n,Audio descr,Audio time,Object y/n,Object descr,Object time,Notes,Tape duration
0,12.0,2006-01-06,5.0,2006-01-05,FOX,Special_Report,00:01:07,01:01:06,00:59:59,15:00:00,Screen,Next on Special report hour,"And that's special report for this time. Please tune in next time. And in the mean time more news is on the way, fair balanced and unafraid.",y,theme,00:03:07-00:03:22,y,"""Next on Special report hour"", tune","00:01:08-00:01:10, 00:03:07-00:03:22",n,,,,
1,12.0,2006-01-06,5.0,2006-01-05,FOX,Fox_Report,01:01:07,02:01:08,01:00:01,16:00:00,Black_Frame,"Ariel Sharon fights for his life. Tonight the Israeli prime minister's condition, his prognosis and his transfer of power on middle east peace and all of us. It's 7 o'clock on the east coast, 4 pm in the west. It's time for the fox report.",That's it for us. Back here tomorrow. Have a good one. The fox report with Shepard smith. A presentation of fox news channel. The network America trusts period.,y,"theme, theme","01:01:07-01:01:10, 01:01:27-01:01:35",y,"tune, tune, ""this is the fox report with shepard smith""","01:01:07-01:01:10,  01:01:27-01:01:35, 01:02:13-01:02:16",y,logo_bottom_right,01:01:13-01:01:16,,
2,12.0,2006-01-06,5.0,2006-01-05,FOX,The_O'reilly_Factor,02:01:09,03:00:58,00:59:49,17:00:00,Black_Frame,The O'reilly factor is on,"I am Bill O'reilly. We do hope to watch you next time. And remember the spin stops right here, cause we're looking out for you.",y,theme,02:01:39-02:01:48,y,"""The O'reilly factor is on"" , tune","02:01:08-02:01:10, 02:01:39-02:01:48",n,,,,
3,12.0,2006-01-06,5.0,2006-01-05,FOX,Hannity_&_Colmes,03:00:58,04:01:05,01:00:07,18:00:00,,This is fox news alert,"Thanks to Greta Van Susteren, She is here to go on the record.",y,theme,03:00:58-03:01:01,y,"tune, ""This is fox news alert""","03:00:58-03:01:01, 03:01:01-03:01:02",y,logo_bottom_middle,03:01:01-03:01:20,,
4,12.0,2006-01-06,5.0,2006-01-05,FOX,On_the_Record,04:01:05,05:01:07,01:00:02,19:00:00,split_screen,"Thanks to me, we are going to miss the rest of the argument. Anyway, good evening gentlemen.","Thank you for being with us tonight, We'll see you all again tomorrow. Until then keep it right here on fox news channel, the most powerful name in news. The O'reilly factor is next, don't miss that one. Good Night",y,split_screen,4:01:06-4:01:11,n,,,y,logo_bottom_middle,04:01:05-04:01:06,,
5,,,,,,,,,,,,,,,,,,,,,,,,
6,12.0,2006-01-06,5.0,2006-01-06,MSNBC,Scarborough Country,05:01:58,06:03:03,01:01:05,20:00:00,split_screen,Right Now in scarborough country tonight,"Thanks so much for being here with us, We appreciate you being here tonight",y,theme,05:03:21-05:03:46,y,"""Right Now in scarborough country tonight"", tune","05:02:42-05:02:45 ,05:03:21-05:03:46",y,logo_bottom_left,05:02:44-05:02:46,,
7,12.0,2006-01-06,5.0,2006-01-06,MSNBC,Hardball,06:03:04,07:03:03,00:59:59,21:00:00,,Johnny we hardly knew you,right now it's time for the abrams report with dan,y,theme,06:03:24-06:03:35,y,tune,06:03:24-06:03:35,y,logo_bottom_left,06:03:06-06:03:15,,
8,12.0,2006-01-06,5.0,2006-01-06,MSNBC,Abrams_Report,07:03:04,08:03:07,01:00:03,22:00:00,cross_fade,Coming up another abrams report exclusive,"msnbc.com. We go through them at the end of the show. And that does it for us tonight. Coming up next here on MSNBC, First look. Have a good morning, thanks for watching.",y,theme,07:03:59-07:04:13,y,tune,07:03:59-07:04:13,n,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,
10,12.0,2006-01-09,1.0,2006-01-08,FOX,Special_Report,00:00:59,01:00:58,00:59:59,15:00:00,Screen,,,y,theme,00:02:59-00:03:15,y,"tune, ""special report with brit hume""",00:02:59-00:03:15,n,,,,
11,12.0,2006-01-09,1.0,2006-01-08,FOX,Fox_Report,01:00:59,02:00:59,01:00:00,16:00:00,Black_Frame,,,y,theme,01:00:59-01:01:25,y,"tune, ""this is the fox report with shepard smith""",01:00:59-01:01:25,n,,,,
12,12.0,2006-01-09,1.0,2006-01-08,FOX,The_O'reilly_Factor,02:01:00,03:00:49,00:59:49,17:00:00,Black_Frame,,,y,theme,02:01:35-02:01:43,y,"tune, ""hi i am bill o'reilly""",02:01:35-02:01:44,n,,,,
13,12.0,2006-01-09,1.0,2006-01-08,FOX,Hannity_&_Colmes,03:00:50,04:00:57,01:00:07,18:00:00,,,,y,,,n,,,,logo,3:00:53-3:00:55,,
14,12.0,2006-01-09,1.0,2006-01-08,FOX,On_the_Record,04:00:57,05:00:56,00:59:59,19:00:00,split_screen,,,y,,,n,,,,logo,4:00:57-4:00:58,,
15,,,,,,,,,,,,,,,,,,,,,,,,
16,12.0,2006-01-09,1.0,2006-01-09,MSNBC,Scarborough Country,05:02:58,06:02:55,00:59:57,20:00:00,split_screen,,,y,theme,05:03:34-05:03:58,y,"tune, ""scarborough country tonight""",05:03:33-05:03:59,n,,,,
17,12.0,2006-01-09,1.0,2006-01-09,MSNBC,Hardball,06:02:56,07:02:52,00:59:56,21:00:00,,,,y,theme,06:03:11-06:03:23,y,"tune, ""good evening, I'm Chris matthews""",06:03:12-06:03:23,n,,,,
18,12.0,2006-01-09,1.0,2006-01-09,MSNBC,Abrams_Report,07:02:52,07:20:41,00:17:49,22:00:00,cross_fade,,,y,theme,07:03:52-07:04:05,y,tune,07:03:52-07:04:05,n,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,
20,12.0,2006-01-10,2.0,2006-01-09,FOX,Special_Report,00:00:55,01:00:51,00:59:56,15:00:00,Screen,,,y,theme,00:02:53-00:03:07,y,"tune, ""special report with brit hume""",00:02:53-00:03:08,n,,,,
