,VCRNum,PullDate,Weekday,ShowDate,Channel,Show,Start,Finish,Duration,Showtime,Boundary,Start words,End words,Visual y/n,Visual descr,Visual time,Audio y/n,Audio descr,Audio time,Object y/n,Object descr,Object time,Notes,Tape duration
0,2.0,2006-01-03,2.0,2006-01-02,KNBC,The_Ellen_DeGeneres_Show,00:00:53,00:58:25,00:57:32,16:00:00,black frame,,,y,screen,00:00:25-00:00:26,y,tune,00:00:53-00:01:08,y,logo bottom left,00:01:07,,
1,2.0,2006-01-03,2.0,2006-01-02,KNBC,Channel_4_News_at_5pm,00:58:50,01:26:18,00:27:28,17:00:00,black frame,,,y,screen,00:58:56,y,"tune, ""This is the Channel four news at five""","00:58:50-00:58:57, 00:58:54-00:58:55",y,CBS logo bottom right,00:59:43,,
2,2.0,2006-01-03,2.0,2006-01-02,KNBC,Channel_4_News_at_530pm,01:29:19,02:56:37,01:27:18,17:30:00,black frame,,,y,screen,01:29:22,y,"tune, ""This is the Channel four news at five thirty""","01:29:19-01:29:26, 01:29:22-01:29:23",y,CBS logo bottom right,01:29:21,Tape stops abruptly at 02:56:37,
3,2.0,2006-01-04,3.0,2006-01-03,KNBC,The_Ellen_DeGeneres_Show,00:00:49,00:58:46,00:57:57,16:00:00,black frame,,,y,"screen, theme","00:00:50, 00:00:50-01:01:03",y,tune,00:00:50-01:01:03,y,logo bottom left,00:01:03,,
4,2.0,2006-01-04,3.0,2006-01-03,KNBC,Channel_4_News_at_5pm,00:58:46,01:25:14,00:26:28,17:00:00,black frame,,,y,"screen, theme","00:58:50, 00:58:46-00:58:53",y,"tune, ""This is the Channel four news at five""","00:58:46-00:58:53, 00:58:49-00:58:52",y,CBS logo bottom right,00:58:55,,
5,2.0,2006-01-04,3.0,2006-01-03,KNBC,Channel_4_News_at_530pm,01:28:16,01:56:33,00:28:17,17:30:00,black frame,,,y,"screen, theme","01:28:19, 01:28:16-01:28:22",y,"tune, ""This is the Channel four news at five thirty""","01:28:16-01:28:22, 01:28:18-01:28:20",y,CBS logo bottom right,01:28:22,,
6,2.0,2006-01-04,3.0,2006-01-03,KNBC,Channel_4_News_at_6pm,01:59:05,02:29:45,00:30:40,18:00:00,black frame,,,y,"screen, theme","01:59:09, 01:59:05-01:59:12",y,"tune, ""This is the Channel four news at six""","01:59:05-01:59:12, 01:59:07-01:59:10",y,CBS logo bottom right,01:59:12,,
7,2.0,2006-01-04,3.0,2006-01-03,KNBC,NBC_Nightly_News_with_Brian_Williams,02:29:45,02:58:38,00:28:53,18:30:00,black frame,,,y,"theme, screen, theme","02:29:48 02:29:45-02:29:48, 02:30:31 ",y,"tune, ""This is NBC Nightly News with Brian Williams""","02:29:45-02:29:48, 02:30:34-02:30:38",n,,,,
8,2.0,2006-01-04,3.0,2006-01-03,KNBC,Extra,03:00:19,03:27:54,00:27:35,19:00:00,,,,y,"screen, theme","03:00:20, 03:00:19-03:00:22",,tune,03:00:19-03:00:22,y,logo bottom left,03:00:22,,
9,2.0,2006-01-04,3.0,2006-01-03,KNBC,Access_Hollywood,03:29:35,03:57:54,00:28:19,19:30:00,black frame,,,y,theme,03:29:35-03:29:40,n,,,y,logo bottom left,03:29:41,"Transition at 04:00:42, jump 3 hour",
10,2.0,2006-01-04,3.0,2006-01-03,KNBC,Channel_4_News_at_11pm,04:01:46,04:35:46,00:34:00,23:00:00,black frame,,,y,"screen, theme","04:01:50, 05:01:46-04:01:53",y,"tune, ""The Channel four news at eleven""","04:01:46-04:01:53, 04:01:52-04:01:53",y,CBS logo bottom right,04:01:55,,
11,2.0,2006-01-04,4.0,2006-01-04,KNBC,Today_Show,04:37:54,07:03:33,02:25:39,07:00:00,,,,y,"screen, theme","04:38:00, 04:37:54-04:38:02",,"tune, ""This is Today""","04:37:54-04:58:05, 04:37:59-04:58:01",y,logo bottom left,04:37:16,Transition at 04:36:40,
12,2.0,2006-01-04,4.0,2006-01-04,KNBC,Channel_4_News_at_11,07:08:06,07:35:29,00:27:23,11:00:00,black frame,,,y,"screen, theme","07:08:10, 07:08:06-07:08:13",y,"tune, ""This is the Channel four news at eleven am""","07:08:06-07:08:13, 07:08:09-07:08:11",y,CBS logo bottom right,07:08:14,,
