,VCRNum,PullDate,Weekday,ShowDate,Channel,Show,Start,Finish,Duration,Showtime,Boundary,Start words,End words,Visual y/n,Visual descr,Visual time,Audio y/n,Audio descr,Audio time,Object y/n,Object descr,Object time,Notes,Tape duration
0,4.0,2006-01-02,,2006-01-01,KCAL,KCAL_Inside_Edition,00:00:23,00:28:43,00:28:20,15:30:00,black screen,,,y,theme,00:00:24-00:00:27,y,theme,00:00:23-00:00:25,y,Logo- center of screen,00:00:25,,
1,4.0,2006-01-02,,2006-01-01,KCAL,KCAL_KCAL_9_News_at_4,00:28:46,00:58:06,00:29:20,16:00:00,black screen,,,y,theme,00:28:47-00:28:50,y,"theme, repetative phrase ""you're watching KCAL 9 news at 5""","00:28:47-00:28:50, 00:28:47-00:28:50",y,Logo- center of screen,00:28:47,Tape skips from KCAL News at 4:30 to the insider,
2,4.0,2006-01-02,,2006-01-01,KCBS,KCBS_The_Insider,00:58:07,01:26:17,00:28:10,19:30:00,black screen,,,y,theme,00:58:15-00:58:19,y,"theme, repeated phrase ""get ready to be an insider""",00:58:07-00:58:19; 00:58:15- 00:58:18,y,Logo- bottom left of the screen,00:58:15,,
3,4.0,2006-01-02,,2006-01-01,KTTV,KTTV_FOX_11_10_Oclock_News,01:29:46,02:27:12,00:57:26,22:00:00,black screen,,,y,theme,1:29:46-1:29:53,y,"theme, repeated phrase ""Coming to you live from the Fox Studio in Los Angeles, this is the Fox 10 o'clock news""",,y,Logo - bottom right,01:29:57,,
4,4.0,2006-01-02,,2006-01-01,KCET,KCET_Tavis_Smiley,02:30:11,02:54:33,00:24:22,23:00:00,black screen,,,y,theme,02:30:11-02:30:25,y,theme,02:30:11-02:30:26,n,,,,
5,4.0,2006-01-02,,2006-01-01,KCET,KCET_Charlie_Rose,02:58:44,03:54:30,00:55:46,23:00:00,black screen,,,n,,,n,,,n,,,,
6,4.0,2006-01-02,,2006-01-02,KCBS,KCBS_Judge_Joe_Brown,03:59:47,04:57:59,00:58:12,00:00:00,logo,,,y,theme,03:59:47-03:59:51,y,"theme, repeated phrase ""Today on Judge Joe Brown""","03:59:47- 03:59:51, 03:59:47-03:59:50",y,Logo- bottom left,04:00:19,,
7,4.0,2006-01-02,,,,,04:59:49,05:48:50,00:49:01,12:00:00,black screen,,,n,,,,,,,,,"Unable to find information, seems to be football game",
8,4.0,2006-01-02,,,,KCAL_The_People's_Court,06:00:03,06:59:34,00:59:31,,black screen,,,y,theme,06:01:33-06:01:52,y,"theme, repeated phrase ""Here on the Peoples Court""","06:01:33-06:01:53, 06:01:49-06:01:53",y,logo- center of screen,06:01:51,Tape cuts off at 06:59:34,
9,,,,,,,,,,,,,,,,,,,,,,,,
10,4.0,2006-01-03,,2006-01-02,KCAL,KCAL_Inside_Edition,00:11:43,00:29:40,00:17:57,15:30:00,black screen,,,y,theme,00:11:43-00:11:46,y,theme,00:11:43-00:11:50,,,,,
11,4.0,2006-01-03,,2006-01-02,KCAL,KCAL_KCAL_News_at_4,00:29:44,00:59:18,00:29:34,16:00:00,black screen,,,y,theme,00:29:44-00:29:51,y,"theme, repeated phrase, ""You're watching KCAL News at 4""","00:29:44-00:29:51, 00:29:44-00:29:49",y,logo- center of screen,00:29:48,,
12,4.0,2006-01-03,,2006-01-02,KCBS,KCBS_The_Insider,00:59:19,01:27:33,00:28:14,19:30:00,theme,,,y,theme,00:59:19-01:00:24,y,theme,01:00:22-01:00:24,y,logo- center of screen,,,
13,4.0,2006-01-03,,2006-01-02,KTTV,KTTV_FOX_11_10_Oclock_News,01:31:03,02:27:10,00:56:07,22:00:00,black screen,,,y,theme,1:31:03-01:31:11,y,"theme, repeated phrase ""Coming to you live from the Fox Studio in Los Angeles, this is the Fox 10 o'clock news""","01:31:03-01:31:11, 01:31:07-01:31:11",y,logo- center of screen,01:31:09,,
14,4.0,2006-01-03,,2006-01-02,KCET,KCET_Tavis_Smiley,02:30:02,02:55:40,00:25:38,23:00:00,fade in,,,y,theme,2:31:03-02:31:17,y,theme,02:31:03-02:31:17,y,logo center of screen,02:31:15,,
15,4.0,2006-01-03,,2006-01-02,KCET,KCET_Charlie_Rose,03:00:01,03:56:59,00:56:58,23:00:00,black screen,,,n,,,n,,,n,,,,
16,4.0,2006-01-03,,,,The_Tony_Deanza_Show,04:01:01,04:59:21,00:58:20,,black screen,,,y,theme,,y,theme,,n,Logo- bottom right of the screen,whole duration,,
17,4.0,2006-01-03,,,KCBS,KCBS_Judge_Joe_Brown,05:01:01,05:58:15,00:57:14,00:00:00,black screen,,,y,theme,5:01:01-05:01:06,y,"theme, ""today on judge joe brown""","05:01:01-5:01:06, 05:01:01-05:01:04",y,logo bottom left of the screen,whold duration,,
