,VCRNum,PullDate,Weekday,ShowDate,Channel,Show,Start,Finish,Duration,Showtime,Boundary,Start words,End words,Visual y/n,Visual descr,Visual time,Audio y/n,Audio descr,Audio time,Object y/n,Object descr,Object time,Notes,Tape duration
0,5.0,2006-01-06,5.0,2006-01-05,KCET,BBC_World_News,00:00:52,00:08:36,00:07:44,17:00:00,,,,,,,y,,,,,,,
1,5.0,2006-01-06,5.0,2006-01-05,KCET,Schwarznegger_State_of_State,00:08:36,00:30:27,00:21:51,17:07:00,,,,y,screen,0:08:41 - 0:08:46,n,n,,,,,interrupts previous show,
2,5.0,2006-01-06,5.0,2006-01-05,KCET,Nightly_Business_Report,00:31:02,00:55:50,00:24:48,18:00:00,,,,y,screen,00:32:36-00:32:40,y,theme,00:32:36-00:32:40,y,Logo - center to bottom right,,,
3,5.0,2006-01-06,5.0,2006-01-05,KCET,Life_&_Times,01:00:00,01:26:55,00:26:55,18:30:00,,"Tonight, on Life & Times",,y,screen,01:00:00-01:00:54,y,theme,01:00:00-01:00:54,y,Logo - center to bottom right,01:00:00,,
4,5.0,2006-01-06,5.0,2006-01-05,KCET,The_News_Hour_With_Jim_Lehrer,01:30:00,02:24:51,00:54:51,19:00:00,,"Good evening, I'm Jim Lehrer",I'm Jim Lehrer. Thank you and good night,y,screen,01:30:00-01:30:10,y,theme,01:30:00-01:30:10,y,Logo - center to bottom left,01:30:00,,
5,5.0,2006-01-06,5.0,2006-01-05,KCAL,KCAL_9_News_At_8,02:29:46,03:29:30,00:59:44,20:00:00,,,,y,screen,02:30:24-02:30:29,y,theme,02:30:24-02:30:29,y,Logo - center to bottom right,02:30:24,,
6,5.0,2006-01-06,5.0,2006-01-05,KTLA,KTLA_News,03:29:35,04:27:29,00:57:54,21:00:00,,,,n,,,,,,,,,,
7,5.0,2006-01-06,5.0,2006-01-05,NBC,The_Tonight_Show_With_Jay_Leno,04:29:27,05:31:34,01:02:07,22:00:00,,,,y,screen,05:31:39 - 05:32:19,y,theme,05:31:39 - 05:32:19,n,,05:31:39 - 05:32:19,,
8,5.0,2006-01-06,5.0,2006-01-05,NBC,Late_Night_With_Conan_O'Brien,05:31:39,06:30:33,00:58:54,23:00:00,,,,,,,,,,,,,,
9,5.0,2006-01-06,6.0,2006-01-06,NBC,Last_Call_With_Carson_Daly,06:30:34,06:33:20,00:02:46,00:00:00,,,,y,screen,06:30:34-06:31:01,y,theme,06:30:34-06:31:01,n,,06:30:34-06:31:01,ads didn't run as long this day; recorded extra 3 min of the next show,
10,5.0,2006-01-06,6.0,2006-01-06,KTLA,The_Jerry_Springer_Show,06:33:34,07:33:06,00:59:32,00:00:00,,,,y,screen,06:33:34-06:33:58,n,,,,,,,
11,5.0,2006-01-06,6.0,2006-01-06,KTLA,CBS_2_News,07:33:20,08:00:40,00:27:20,11:00:00,,Good morning,,y,screen,07:33:20-07:33:24 AM,y,theme,07:33:20-07:33:24 AM,,,07:33:20-07:33:24 AM,,
12,,,,,,,,,,,,,,,,,,,,,,,,
13,5.0,2006-01-09,6.0,2006-01-06,KCET,BBC_World_News,00:00:07,00:25:58,00:25:51,17:30:00,,,,y,screen,00:00:07-00:00:08,n,,,y,Logo - center to bottom left,00:00:07-00:00:08,,
14,5.0,2006-01-09,6.0,2006-01-06,KCET,Nightly_Business_Report,00:29:16,00:55:56,00:26:40,18:00:00,,,,y,screen,00:29:16-00:29:19,y,theme,00:29:16-00:29:19,y,Logo - center,00:29:16-00:29:19,,
15,5.0,2006-01-09,6.0,2006-01-06,KCET,Life_&_Times,00:59:17,01:26:16,00:26:59,18:30:00,,"Tonight, on Life & Times",That's next time on Life and Times,y,screen,00:59:17-00:59:21,y,theme,00:29:17-00:59:19,y,Logo - center,00:59:17-00:59:21,,
16,5.0,2006-01-09,6.0,2006-01-06,KCET,The_News_Hour_With_Jim_Lehrer,01:29:17,02:25:56,00:56:39,19:00:00,,Good evening I'm Jim Lehrer,Thank you and good night,y,screen,01:29:17 - 01:29-28,y,theme,01:29:17 - 01:29-28,y,Logo - center,01:29:17 - 01:29-28,,
17,5.0,2006-01-09,6.0,2006-01-06,KCAL,KCAL_9_News_At_8,02:29:51,03:28:49,00:58:58,20:00:00,,,,y,screen,02:29:51-02:29:55,n,,,y,Logo - center,02:29:51-02:29:55,"""Coming up"" section",
18,5.0,2006-01-09,6.0,2006-01-06,KTLA,KTLA_News,03:28:50,04:26:47,00:57:57,21:00:00,,Good evening I'm Hal Fishman,"Have a good night everyone, and a great weekend",n,,,n,,,n,,,Jump between channels,
19,5.0,2006-01-09,6.0,2006-01-06,NBC,The_Tonight_Show_With_Jay_Leno,04:28:51,05:31:04,01:02:13,22:00:00,,,,y,,04:28:51 - 04:29:10,y,theme,04:28:51 - 04:29:10,n,,,Cut off beginning of the theme,
20,5.0,2006-01-09,6.0,2006-01-06,NBC,Late_Night_With_Conan_O'Brien,05:31:05,06:30:04,00:58:59,23:00:00,,,,y,screen,05:31:05-05:31:39,y,theme,05:31:05-05:31:39,n,,,,
21,5.0,2006-01-09,7.0,2006-01-07,KTLA,The_Jerry_Springer_Show,06:33:02,07:32:39,00:59:37,00:00:00,,,,y,screen,06:33:02-06:33:40,y,theme,06:33:02-06:33:40,n,,,,
22,5.0,2006-01-09,7.0,2006-01-07,KTLA,CBS_2_News,07:32:53,08:00:25,00:27:32,11:00:00,,,Enjoy your afternoon,y,screen,07:32:53-07:32:57,y,theme,07:32:53-07:32:57,y,Logo - center,07:32:53-07:32:57,,
23,,,,,,,,,,,,,,,,,,,,,,,,
24,5.0,2006-01-10,2.0,2006-01-09,KCET,BBC_World_News,00:00:06,00:26:48,00:26:42,17:30:00,,"This is BBC World, I'm Justin Webb in Washington",,y,screen,00:01:02-00:01:11,y,theme,00:01:02-00:01:11,y,Logo - center,00:01:02-00:01:11,,
25,5.0,2006-01-10,2.0,2006-01-09,KCET,Nightly_Business_Report,00:30:06,00:56:51,00:26:45,18:00:00,,Good evening everyone,Wishing all of you the best of goodbyes,y,screen,00:30:06-00:30:11,y,theme,00:30:06-00:30:11,y,Logo - center,00:30:06-00:30:11,,
26,5.0,2006-01-10,2.0,2006-01-09,KCET,Life_&_Times,01:00:05,01:27:07,00:27:02,18:30:00,,"Tonight, on Life and Times",Next time on Life & Times,y,screen,01:00:05-01:00:11,y,theme,01:00:05-01:00:11,y,Logo - center,01:00:05-01:00:11,,
27,5.0,2006-01-10,2.0,2006-01-09,KCET,The_News_Hour_With_Jim_Lehrer,01:30:06,02:26:46,00:56:40,19:00:00,,"Good evening, I'm Jim Lehrer","I'm Jim Lehrer, Thank you and good night",y,screen,01:30:06-01:30:17,y,theme,01:30:06-01:30:17,y,Logo - center,01:30:06-01:30:17,,
28,5.0,2006-01-10,2.0,2006-01-09,KCAL,KCAL_9_News_At_8,02:29:54,03:28:41,00:58:47,20:00:00,,,"And that does it for us at 8 o'clock, thanks for joining us",y,screen,02:30:37-02:30:42,y,theme,02:30:37-02:30:42,y,Logo - center,02:30:37-02:30:42,"""Coming up"" section",
29,5.0,2006-01-10,2.0,2006-01-09,KTLA,KTLA_News,03:29:48,04:27:37,00:57:49,21:00:00,,Good evening I'm Hal Fishman,We bid you a very good night,n,,,n,,,n,,,Beginning was cut off by previous channel,
30,5.0,2006-01-10,2.0,2006-01-09,NBC,The_Tonight_Show_With_Jay_Leno,04:29:42,05:31:54,01:02:12,22:00:00,,,"Stay tuned for Conan, coming up next",y,screen,04:29:42-04:30:00,y,theme,04:29:42-04:30:00,n,,,,
31,5.0,2006-01-10,2.0,2006-01-09,NBC,Late_Night_With_Conan_O'Brien,05:31:55,06:24:17,00:52:22,23:00:00,,,,y,screen,05:31:55-05:32:33,y,theme,05:31:55-05:32:33,n,,,End got cut off by end of tape,
